MakerSalesID,Maker,RawCategory,Year,Sales,CategoryGroup
164,A.V.AUTOMOTIVES PVT LTD,3W,2018,280,3W
165,A.V.AUTOMOTIVES PVT LTD,3W,2019,452,3W
166,A.V.AUTOMOTIVES PVT LTD,3W,2020,256,3W
167,A.V.AUTOMOTIVES PVT LTD,3W,2021,677,3W
168,A.V.AUTOMOTIVES PVT LTD,3W,2022,1451,3W
169,A.V.AUTOMOTIVES PVT LTD,3W,2023,1309,3W
170,A.V.AUTOMOTIVES PVT LTD,3W,2024,674,3W
171,A-1 SUREJA INDUSTRIES,2W,2015,0,2W
172,A-1 SUREJA INDUSTRIES,2W,2016,0,2W
173,A-1 SUREJA INDUSTRIES,2W,2017,0,2W
174,A-1 SUREJA INDUSTRIES,2W,2018,0,2W
175,A-1 SUREJA INDUSTRIES,2W,2019,0,2W
176,A-1 SUREJA INDUSTRIES,2W,2020,0,2W
177,A-1 SUREJA INDUSTRIES,2W,2021,0,2W
178,A-1 SUREJA INDUSTRIES,2W,2022,0,2W
179,A-1 SUREJA INDUSTRIES,2W,2023,0,2W
180,A-1 SUREJA INDUSTRIES,2W,2024,2,2W
181,A3T INCORPORTED,3W,2015,0,3W
182,A3T INCORPORTED,3W,2016,8,3W
183,A3T INCORPORTED,3W,2017,94,3W
184,A3T INCORPORTED,3W,2018,85,3W
185,A3T INCORPORTED,3W,2019,41,3W
186,A3T INCORPORTED,3W,2020,3,3W
187,A3T INCORPORTED,3W,2021,17,3W
188,A3T INCORPORTED,3W,2022,8,3W
189,A3T INCORPORTED,3W,2023,0,3W
190,A3T INCORPORTED,3W,2024,0,3W
191,A3T INCORPORTED,LMV,2015,0,4W
192,A3T INCORPORTED,LMV,2016,0,4W
193,A3T INCORPORTED,LMV,2017,2,4W
194,A3T INCORPORTED,LMV,2018,75,4W
195,A3T INCORPORTED,LMV,2019,0,4W
196,A3T INCORPORTED,LMV,2020,0,4W
197,A3T INCORPORTED,LMV,2021,0,4W
198,A3T INCORPORTED,LMV,2022,0,4W
199,A3T INCORPORTED,LMV,2023,0,4W
200,A3T INCORPORTED,LMV,2024,0,4W
201,AADHYA ENTERPRISES,3W,2015,0,3W
202,AADHYA ENTERPRISES,3W,2016,3,3W
203,AADHYA ENTERPRISES,3W,2017,0,3W
204,AADHYA ENTERPRISES,3W,2018,4,3W
205,AADHYA ENTERPRISES,3W,2019,6,3W
206,AADHYA ENTERPRISES,3W,2020,4,3W
207,AADHYA ENTERPRISES,3W,2021,6,3W
208,AADHYA ENTERPRISES,3W,2022,516,3W
209,AADHYA ENTERPRISES,3W,2023,797,3W
210,AADHYA ENTERPRISES,3W,2024,312,3W
211,AADHYA ENTERPRISES,LMV,2015,0,4W
212,AADHYA ENTERPRISES,LMV,2016,0,4W
213,AADHYA ENTERPRISES,LMV,2017,0,4W
214,AADHYA ENTERPRISES,LMV,2018,0,4W
215,AADHYA ENTERPRISES,LMV,2019,0,4W
216,AADHYA ENTERPRISES,LMV,2020,1,4W
217,AADHYA ENTERPRISES,LMV,2021,0,4W
218,AADHYA ENTERPRISES,LMV,2022,0,4W
219,AADHYA ENTERPRISES,LMV,2023,0,4W
220,AADHYA ENTERPRISES,LMV,2024,0,4W
221,AADITYA EMOTORS INDIA PVT LTD,3W,2015,0,3W
222,AADITYA EMOTORS INDIA PVT LTD,3W,2016,1,3W
223,AADITYA EMOTORS INDIA PVT LTD,3W,2017,471,3W
224,AADITYA EMOTORS INDIA PVT LTD,3W,2018,179,3W
225,AADITYA EMOTORS INDIA PVT LTD,3W,2019,10,3W
226,AADITYA EMOTORS INDIA PVT LTD,3W,2020,0,3W
227,AADITYA EMOTORS INDIA PVT LTD,3W,2021,0,3W
228,AADITYA EMOTORS INDIA PVT LTD,3W,2022,0,3W
229,AADITYA EMOTORS INDIA PVT LTD,3W,2023,0,3W
230,AADITYA EMOTORS INDIA PVT LTD,3W,2024,0,3W
231,AADITYA EMOTORS INDIA PVT LTD,LMV,2015,0,4W
232,AADITYA EMOTORS INDIA PVT LTD,LMV,2016,0,4W
233,AADITYA EMOTORS INDIA PVT LTD,LMV,2017,2,4W
234,AADITYA EMOTORS INDIA PVT LTD,LMV,2018,6,4W
235,AADITYA EMOTORS INDIA PVT LTD,LMV,2019,0,4W
236,AADITYA EMOTORS INDIA PVT LTD,LMV,2020,0,4W
237,AADITYA EMOTORS INDIA PVT LTD,LMV,2021,0,4W
238,AADITYA EMOTORS INDIA PVT LTD,LMV,2022,0,4W
239,AADITYA EMOTORS INDIA PVT LTD,LMV,2023,0,4W
240,AADITYA EMOTORS INDIA PVT LTD,LMV,2024,0,4W
241,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2015,0,3W
242,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2016,0,3W
243,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2017,0,3W
244,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2018,0,3W
245,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2019,13,3W
246,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2020,0,3W
247,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2021,0,3W
248,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2022,10,3W
249,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2023,34,3W
250,AADITYA GARBAGE PRODUCTS PVT LTD,3W,2024,4,3W
251,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2015,0,4W
252,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2016,0,4W
253,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2017,0,4W
254,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2018,0,4W
255,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2019,1,4W
256,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2020,0,4W
257,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2021,0,4W
258,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2022,0,4W
259,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2023,0,4W
260,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2024,0,4W
261,AAHANA COMMERCE PVT LTD,3W,2015,0,3W
262,AAHANA COMMERCE PVT LTD,3W,2016,0,3W
263,AAHANA COMMERCE PVT LTD,3W,2017,0,3W
264,AAHANA COMMERCE PVT LTD,3W,2018,0,3W
265,AAHANA COMMERCE PVT LTD,3W,2019,0,3W
266,AAHANA COMMERCE PVT LTD,3W,2020,61,3W
267,AAHANA COMMERCE PVT LTD,3W,2021,202,3W
268,AAHANA COMMERCE PVT LTD,3W,2022,309,3W
269,AAHANA COMMERCE PVT LTD,3W,2023,918,3W
270,AAHANA COMMERCE PVT LTD,3W,2024,1194,3W
271,AAKK AUTO PVT LTD,3W,2015,0,3W
272,AAKK AUTO PVT LTD,3W,2016,0,3W
273,AAKK AUTO PVT LTD,3W,2017,0,3W
274,AAKK AUTO PVT LTD,3W,2018,0,3W
275,AAKK AUTO PVT LTD,3W,2019,0,3W
276,AAKK AUTO PVT LTD,3W,2020,0,3W
277,AAKK AUTO PVT LTD,3W,2021,0,3W
278,AAKK AUTO PVT LTD,3W,2022,0,3W
279,AAKK AUTO PVT LTD,3W,2023,0,3W
